window,candidate,horizon_segment,wape,bias_pct
cv_1858_1885,trend_store,F22_F28,0.9422748288491318,0.030005818810176377
cv_1858_1885,trend_category,F1_F7,0.9586193946720011,0.042963042603465285
cv_1858_1885,trend_category,F8_F14,0.9761893600549205,0.10013378043145747
cv_1858_1885,trend_category,F15_F21,0.9834357756901961,0.12322763918348302
cv_1858_1885,trend_category,F22_F28,0.9443078563684897,0.03446835849417303
cv_1858_1885,trend_department,F1_F7,0.9592457736590507,0.045005999405567446
cv_1858_1885,trend_department,F8_F14,0.9761852303269271,0.10094628661736162
cv_1858_1885,trend_department,F15_F21,0.9849782193450093,0.1262807538937782
cv_1858_1885,trend_department,F22_F28,0.9454916599609268,0.037566453250595815
cv_1858_1885,trend_store_department,F1_F7,0.9553367157307432,0.0367872079787877
cv_1858_1885,trend_store_department,F8_F14,0.9741645230343705,0.09421388542006598
cv_1858_1885,trend_store_department,F15_F21,0.9792664042640157,0.11680374167630835
cv_1858_1885,trend_store_department,F22_F28,0.9404702142052879,0.027671856219188638
cv_1858_1885,trend_store_category,F1_F7,0.9569474243247561,0.03999097204198077
cv_1858_1885,trend_store_category,F8_F14,0.9758680611608725,0.09790444202560926
cv_1858_1885,trend_store_category,F15_F21,0.980145337630713,0.11906832779574485
cv_1858_1885,trend_store_category,F22_F28,0.9415637782899702,0.029169823045874954
cv_1858_1885,trend_horizon_daily,F1_F7,0.9488895047697833,0.015641032832846367
cv_1858_1885,trend_horizon_daily,F8_F14,0.9810915771375104,0.10149625241562397
cv_1858_1885,trend_horizon_daily,F15_F21,1.0066430031224665,0.1603747235739119
cv_1858_1885,trend_horizon_daily,F22_F28,0.9293775939942867,0.0008266159584487272
cv_1858_1885,direct_segment_trend,F1_F7,0.9449315953620033,0.017653323812841244
cv_1858_1885,direct_segment_trend,F8_F14,0.9869982995553582,0.11776972762758879
cv_1858_1885,direct_segment_trend,F15_F21,1.01251976640546,0.17024047868285114
cv_1858_1885,direct_segment_trend,F22_F28,0.9244985697002895,-0.0014183927466609484
cv_1858_1885,blend_base_global_25,F1_F7,0.9287804729504394,-0.011684721570700827
cv_1858_1885,blend_base_global_25,F8_F14,0.9422646602941697,0.042382234403290864
cv_1858_1885,blend_base_global_25,F15_F21,0.9478246540872065,0.06392613940128458
cv_1858_1885,blend_base_global_25,F22_F28,0.9143913341296613,-0.02026828729983269
cv_1858_1885,blend_base_global_50,F1_F7,0.9387766228779229,0.006523774122303123
cv_1858_1885,blend_base_global_50,F8_F14,0.9535164637446916,0.06158684738444494
cv_1858_1885,blend_base_global_50,F15_F21,0.9595239647415965,0.08352767238350331
cv_1858_1885,blend_base_global_50,F22_F28,0.9240685075255266,-0.0022179332677146834
cv_1858_1885,blend_base_global_75,F1_F7,0.9488739686213368,0.024732269815307073
cv_1858_1885,blend_base_global_75,F8_F14,0.9648650812782407,0.08079146036559902
cv_1858_1885,blend_base_global_75,F15_F21,0.9712894632154926,0.10312920536572225
cv_1858_1885,blend_base_global_75,F22_F28,0.9338170704565857,0.015832420764403728
cv_1886_1913,seasonal_naive_28,F1_F7,0.9312997520329526,0.03774723823699888
cv_1886_1913,seasonal_naive_28,F8_F14,0.8818182110713171,-0.039128993747727395
cv_1886_1913,seasonal_naive_28,F15_F21,0.8985199774331186,-0.0289991182700526
cv_1886_1913,seasonal_naive_28,F22_F28,0.9199730789858349,0.007638136701264377
cv_1886_1913,trend_global,F1_F7,0.9315091834783019,0.0380994005241649
cv_1886_1913,trend_global,F8_F14,0.8819907675104133,-0.038802919614484496
cv_1886_1913,trend_global,F15_F21,0.898696331126932,-0.02866960653660662
cv_1886_1913,trend_global,F22_F28,0.9201739791301852,0.00798008138469163
cv_1886_1913,trend_state,F1_F7,0.9320755721818214,0.03811052216315823
cv_1886_1913,trend_state,F8_F14,0.8826593388673517,-0.03877264147186231
cv_1886_1913,trend_state,F15_F21,0.8993556333064163,-0.02886439580534291
cv_1886_1913,trend_state,F22_F28,0.9212038771480933,0.00843233915979675
cv_1886_1913,trend_store,F1_F7,0.9331910198284133,0.03821397764366443
cv_1886_1913,trend_store,F8_F14,0.8835188312651168,-0.0388769328573371
cv_1886_1913,trend_store,F15_F21,0.9010127915849421,-0.027947199765925475
cv_1886_1913,trend_store,F22_F28,0.9222694536296889,0.00865804498167532
cv_1886_1913,trend_category,F1_F7,0.9325829327048526,0.03795108931953362
cv_1886_1913,trend_category,F8_F14,0.8826975226055539,-0.038237602032305015
cv_1886_1913,trend_category,F15_F21,0.8990702463161633,-0.028388759663121897
cv_1886_1913,trend_category,F22_F28,0.9217512010229234,0.008605688659400222
cv_1886_1913,trend_department,F1_F7,0.9328440778151561,0.03790484080422664
cv_1886_1913,trend_department,F8_F14,0.8829558200482671,-0.03826567933264741
cv_1886_1913,trend_department,F15_F21,0.8993209222806823,-0.028428557540670425
cv_1886_1913,trend_department,F22_F28,0.9222610662484373,0.008889483716930288
cv_1886_1913,trend_store_department,F1_F7,0.9353421278985282,0.038663601827239075
cv_1886_1913,trend_store_department,F8_F14,0.8843275935499727,-0.03749215612973509
cv_1886_1913,trend_store_department,F15_F21,0.9021536689434593,-0.026351218842899905
cv_1886_1913,trend_store_department,F22_F28,0.9248739879049039,0.010395757420652905
cv_1886_1913,trend_store_category,F1_F7,0.9341980269189851,0.03850693698534318
cv_1886_1913,trend_store_category,F8_F14,0.8837830018575654,-0.03755343044528906
cv_1886_1913,trend_store_category,F15_F21,0.9011572636930322,-0.026610004583367264
cv_1886_1913,trend_store_category,F22_F28,0.9234373049797132,0.009842191883714558
cv_1886_1913,trend_horizon_daily,F1_F7,0.9555277586051893,0.06594894988279411
cv_1886_1913,trend_horizon_daily,F8_F14,0.8814094141423771,-0.055256215562799034
cv_1886_1913,trend_horizon_daily,F15_F21,0.8894861783397835,-0.06733668466409815
cv_1886_1913,trend_horizon_daily,F22_F28,0.9501438629244511,0.04664778054881849
cv_1886_1913,direct_segment_trend,F1_F7,0.950327755248615,0.06971386234422718
cv_1886_1913,direct_segment_trend,F8_F14,0.8745727898251294,-0.06088808726753562
cv_1886_1913,direct_segment_trend,F15_F21,0.884644208097731,-0.07019789679315568
cv_1886_1913,direct_segment_trend,F22_F28,0.9436069818315633,0.047773428774339294
cv_1886_1913,blend_base_global_25,F1_F7,0.9313521098942898,0.037835278808790486
cv_1886_1913,blend_base_global_25,F8_F14,0.8818613501810912,-0.03904747521441663
cv_1886_1913,blend_base_global_25,F15_F21,0.898564065856572,-0.028916740336691005
cv_1886_1913,blend_base_global_25,F22_F28,0.9200233040219225,0.007723622872121036
cv_1886_1913,blend_base_global_50,F1_F7,0.9314044677556274,0.03792331938058209
